Docket No. ( P-Code),ENG Model,T/M Model,Date of Booking,Carrying company,Invoice No. of shipping from dealer,Dealer Code,Material description,VIN No.,PQR No.,Claim No.,Safety issue,Material/Parts No.,Damage code,Distributor name (Overseas),"ENG, TM #",Mileage/Time,Date of claim,Failure description of Dealer,Failure description of MFTBC,Group in charge for investigation,Failure/Damage description in English,Model,WPI Claim No.,Q issue ID,Q issue status,PQR Importance level,Build date,Sold date,Failure date,Position code,Current status
PF24010695,4P10RA4F1622,M038S5B016,,Others,="240131",A0002508BA,"SWITCH,NEUTRAL",FEB800600068,240101181A,,No,ML234765,="73",NA,F39569/Z0P40864,="4155",="20240124",FEB80 エンジン始動不良 T/Mニュートラルポジションスイッチ交換,,,,LIGHT DUTY TRUCK,,,,,="20220517",="20220819",="20240112",="54613",Originator Submitted
PF24010696,4P10RA6F3322,M038S6A403,,Others,="240131",A0002508BA,INJECTOR ASSY,FEB900590537,240101184A,,No,QC000353R,="73",NA,F01952/Z0N86205,="55561",="20240124",FEB90 エンジン制御ランプ点灯 インジェクタ交換,,,,LIGHT DUTY TRUCK,,,,,="20210804",="20211102",="20240123",="07116",Originator Submitted
PF24020011,4P10RA4F2463,M038S5B011,,日本通運,240207神ふ港北,A00037030F,HEADLAMP LED RH,FEAV00600188,240101734A,,No,ML352450,="92",NA,F54586/Z0P55260,="52595",="20240130",21年 FEAV0 右フロントフラッシャーランプ不灯の件,,,,LIGHT DUTY TRUCK,,,,,="20220725",="20221029",="20240110",8210C,Originator Submitted
PF24020013,4P10RA2F1222,M038S5B011,,日本通運,240207神ふ港北,A00037030F,HEADLAMP LED RH,FBA200593016,240101761A,,No,ML352450,="92",NA,F32462/Z0P26376,="32927",="20240130",21年 FBA20 右フロントフラッシャーランプ不灯の件,,,,LIGHT DUTY TRUCK,,,,,="20221007",="20230130",="20240126",8210C,Originator Submitted
PF24020027,6R200A3F2331,G211CBA922,,日本通運,240207神ふ港北,A00037030F,RELEASE BEARING,FV70HY0540322,240100908A,,No,MX968413,="45",NA,044097/A0D12292,="23546",="20240120",21年 FV70HY 走行時ギヤ抜け、走行不能の件,,,,HEAVY DUTY TRUCK,,,,,="20230210",="20230426",="20230428",="26855",Requested for more info
PF24020026,6R200A3F2331,G211CBA922,,日本通運,240207神ふ港北,A00037030F,CLOSING COVER,FV70HY0540322,240100908A,,No,MX940171,="45",NA,044097/A0D12292,="23546",="20240120",21年 FV70HY 走行時ギヤ抜け、走行不能の件,,,,HEAVY DUTY TRUCK,,,,,="20230210",="20230426",="20230428",="26855",Requested for more info
PF24020195,6S100A2F0411,G211CBA912,,興菱梱包運輸,20240207八王子第一,A0003508HK,TRANSMISSION POSITIONER COMPL,FV70GY0520017,240101706A,HF202401310094A,No,MX949070,="73",NA,004381/A0C93101,="189617",="20240130",変速時ギヤNになる,"6S100A2F0411,220 HEAVY DUTY TRUCK,26406,73-電気的故障",,,HEAVY DUTY TRUCK,,,,,="20201214",="20210420",="20231007",="26406",Transferred by CFT
PF24020200,6R200A2F2232,G211CBA921,,Others,1811-3277-1061,A0003508HA,"HARNESS,CABIN",FU75HZ0540159,231201491A,HF202312250093A,Yes,ML346910,ZX,NA,041810/A0D09895,="0",="20231223",キャブ内冷凍機操作パネル付近より車両火災,HDT TG FU75HZ 6R20 Vehicle fire (near the cab indoor refrigerator operation panel),QBC,,HEAVY DUTY TRUCK,,QI202401181019A,Approved For Investigation,R1,="20221111",="20230529",="20231211",0025A,Approved
PF24010647,6R200A2F2281,G230CBA925,,日本通運,20240131秋田,A0003509PT,SOLENOID VALVE COOLING-WATER,FS74HZ0547020,240101380A,HF202401290096A,No,MX001313,RE,NA,050628/A0D20028,="6635",="20240126",23FS74HZ ブルーテックランプ点灯(尿素水ヒーターマグネットバルブ交換),"6R200A2F2281,220 HEAVY DUTY TRUCK,53878,RE-ショート・絶縁不良による作動不良",,,HEAVY DUTY TRUCK,,,,,="20231003",="20231206",="20240119",="53878",Transferred by CFT
PF24010673,4P101A4F4613,M038S5A003,,日本通運,240207新発田,A0003509PE,"COOLER,EGR",FEB800540494,240101409A,HF202401290100A,No,QC000057R,D6,NA,B64671/Z0J27069,="422982",="20240126",15 FEB80 ENG吹けず(EGRアクチュエータ不具合),,,,LIGHT DUTY TRUCK,,,,,="20150317",="20150428",="20231226",="14058",Submitted to QM
